CPU,OS,Smartphones,Televisions,Laptops,Hardware,OIL,Reliance,Banks,Pharma,Unrelated 1,Unrelated 2,Unrelated 3,Unrelated 4,Unrelated 5
INTC,MSFT,005930.KS,TOSYY,MSFT,INTC,SNP,AAPL,JPM,JNJ,AAPL,0992.HK,005930.KS,PTR,JPM
AMD,AAPL,AAPL,066570.KS,AAPL,AMD,PTR,QCOM,BAC,TEVA,SNP,RDS-B,TCLHF,AVGO,0992.HK
,T,NOK,005930.KS,HP,AVGO,RDS-B,005930.KS,WFC,TARO,0921.HK,,MSFT,CNI,TEVA
,IBM,0992.HK,0921.HK,0992.HK,AAPL,BP,,C,PFE,,,,,
,,,SONY,2353.TW,QCOM,,,,RHHBY,,,,,
,,,PCRFY,2357.TW,MRVL,,,,NVS,,,,,
,,,TCLHF,IBM,NVDA,,,,,,,,,
,,,,,IBM,,,,,,,,,
